,Year,Month,level_average,Z Scores
114,2011,1,673.046129032258,0.49223785338141857
115,2010,12,671.9329032258065,0.42317758107514203
116,2010,11,674.778,0.5996765059337178
117,2010,10,676.9038709677419,0.7315574119183181
118,2010,9,678.4656666666667,0.828445245122908
119,2010,8,668.798064516129,0.22870417444735888
120,2010,7,675.0196774193548,0.6146692489102056
121,2010,6,676.0490000000001,0.6785244859145931
122,2010,5,679.6403225806453,0.9013164064051987
123,2010,4,679.3493333333333,0.8832645461796287
124,2010,3,679.9277419354838,0.9191468041521899
125,2010,2,680.8871428571429,0.9786643687978239
126,2010,1,672.490322580645,0.4577577464026475
127,2009,12,670.3983870967742,0.32798206807572
128,2009,11,668.9390000000001,0.23744727296101903
129,2009,10,662.9090322580645,-0.1366288685035243
130,2009,9,650.5013333333334,-0.9063550655341073
